cmt_col,labels
cặc,1.0
đr hết thời cày rank bk còn ngợp,0.0
Diễn viên hô ni hút mà ngại gì mấy khác kk,0.0
Toàn bọn vô công rồi nghề ngồi sủa ăn lương tháng chứ vinh quang gì? Bản thân hiểu rõ hơn ai hết nhưng vì đồng tiền bát gạo nên vẫn cứ đi cắn sủa vậy đó. Tôi chỉ quan tâm sự thật chứ mấy loại này riết chán chẳng thèm phản biện 😩,2.0
lên kim cương bố ỉa vào mồm mày với cái lối lên đồ 10 game như 1 này :)))) bao giờ live rank kc thì tag bố m vào nhé :))),1.0
"Con bà chúng nó làm lòng vòng để tìm cách tham ô tham nhũng, chứ xử lý nguồn gốc gây ô nhiễm chuyển xử lý dòng chảy nước thải không cho xả thải ra sông nữa là nước nó sạch ngay",1.0
 why cái lồn,1.0
Su Quỳnh chéo avt hộ vs ạ,0.0
Phàm :)) vlon thanh niên,1.0
Bắt được mấy thằng trộm xe. Nên chặt tay nó,1.0
T dang xem sec à,0.0
Đm máy thằng hèn,2.0
Chúng mày nghĩ sau vậy uống thuốc ngủ đi nhé KKK,1.0
"Phát ngôn ngu vãi, tao đi ị ở bến xe gia lâm còn phải đóng thuế 5k một lượt kia mà nhà vs có gia lol gì âu, bọn nó chịch nhau còn phải đóng thuế vì dùng bao con sâu hay victoria kia...",1.0
Chúng nó dàn rựng để trộm xe hai thằng đứng đấy để giả vờ hỏi chuyện,0.0
Bộ tóc huyền thoại ❤,0.0
Nhà bao việc còn bắt đi đóng MV :((,0.0
"Hiệp 1 còn vào được, chứ giờ nó khóa rồi, còn lại toàn fake cả",0.0
Cho con 1 tỉ đi cô,0.0
Mày nghĩ xl là hết à,0.0
"người ta lên tiếng cũng nói 1-2 lần, nói trên báo chính thống, chứ đâu có lên báo mạng, đi cmt dạo khắp nơi hay kể lể đủ thứ, cũng k có kiểu ăn tiền mà nói k, hay đáng nói chuyện này bẻ chuyện khác rồi dọa phốt",0.0
"Ý chúng nó nói ở đây là nên im lặng và tìm hiểu rõ nguyên nhân , như cư dân mạng ở miền bắc , miền nam , và ở nước ngoài chắc phải bay tận về hà tĩnh tìm hiểu rồi mới được đăng stt chắc :) đúng là cái chế độ này càng ngày càng thối nát, cơ quan báo chí tuyên truyền tung hô toàn cái đéo gì ấy đm chắc ko nói gì là ỉm đi vụ formosa luôn đấy",1.0
Bị đấm gãy cmn răng,1.0
"Người khó khăn, người nghèo bao giờ cũng bị thiệt, nếu bắt tụi nó được, chắc là chỉ vài năm tù, còn người nghèo họ làm, tích góp hơn 10 năm mới có chiếc xe để mưu sinh, vậy mà luật pháp phạt họ quá nhẹ,hy vọng sẽ có bộ luật phạt cho kẻ trộm cắp thật nặng, để dân được bình an.",0.0
Ngu thì thua,1.0
Cái thằng khỉ đầu chó này nữa,2.0
Thoi di thang khung oi,2.0
m lên báo cáo tài chính hợp nhất đó mà xem! nói ra đã thấy mày óc chó ntn rồi! lũ thổ dân mồm vẩu!,2.0
ĐM chúng mày. Thế mà zam làm xã hội thâm.,2.0
thể loại ko làm muốn có ăn hở ra chộm cướp,1.0
"mn ơi vào đây chửi cm thằng trọng tài mù này đi, cay thật sự!! https://www.facebook.com/groups/937323947177598/",2.0
cái này tại dân... cu hòi húng nó bảo thế :v,0.0
Ok Haha Đúng đóm con nguu như idol đầu bu.ồi giẻ rách của nó vậy :))) xưa nó ở GVR đ có mấy ae giúp đỡ thì nó cũng chỉ là thằng xách nước bổ cam lau dọn ghế cọ nhà vệ sinh trong đấy thôi nhé.,2.0
nhớ hkia k cs đàn cánh cụt,0.0
Tin vui cho CSGT để đem về cho người thân không có xe,0.0
Nếu là người có lòng tự trọng thì hãy tự xin thôi đi. Đừng nhận tiền khi mình không có năng lực. Làm việc không có trách nhiệm và đạo đức. Hãy về đất nước của ông. Ở đây chúng tôi không chào đón ông,0.0
Xin lỗi cái ĐB,1.0
Được đó thầy,0.0
Mấy thằng ngu dốt mà tại sao gọi bọn nó là nhà trí thức ?,2.0
Em đang học đánh illoi Mong giao lưu chỉ giáo ạ,0.0
Em cũng chúc cả nhà anh chị một kì nghĩ lễ thật vui vẻ ❤️,0.0
Thứ nhất do luật không nghiêm. Thứ 2 rồi đây tình người sẽ mất hết. Botay,0.0
dot,1.0
tây nó tưởng điên trốn trại,1.0
"Cái mỏ giống cá tai tượng quá ,,bởi vậy nó sạo ke cai thứ chửi Việt nam la kg ưa roi",1.0
"Má xem clip xong nhìn xe mình không thấy, giật mình.nghĩ lại thì ra mình bỏ bên nhà hàng xóm",0.0
HN Thu Nguyên mấy thằng nhơ bẩn cả nc vn,2.0
thằng ngu nếu ko bồi thường thì đừng có lấy của dân,1.0
Này acc fake đang bắt trọng tài sao đăng bài đc Má ôi tin nhanh thế,0.0
anh thua top do sai lane chu trinh anh nhu con cac that,2.0
"nói ngu thì tự ái, cãi cùn còn nch thì thích công kích cá nhân. Trình độ học vấn hết cấp2 chưa?",1.0
Mắt ông mù à,1.0
bọn nó lột xong còn bỏ cát vào bình xăng với dầu ý . Quá khốn nạn .,1.0
"Mẫn Đạt Sủa câu biết ngu học =)) đúng là fan bóng đá thời vụ mới nói được những câu này, dell biết nhìn ra mình có gì mà đi chửi HLV",2.0
m có thời à,0.0
DM thằng lồn,2.0
"Một hlv éo có tâm, cần dẹp gắp, nó không khác gì con sâu mọt đang phá dần bóng đá việt nam",1.0
K phải khen chứ phim dỡ vkl,1.0
bỏ con mà éo liên quan là sao?,1.0
Acc Fake nha,0.0
Lỗi lầm j hả th chó,2.0
"giống vcl luôn, đm như 2 giọt nước",1.0
Sory con mẹ mày,2.0
"Dàn dựng để trộm cắp, thanh niên sức dài vai rộng k chịu đi làm, đi ăn cắp, rồi có ngày người ta đánh chết cho .",1.0
đọc thì đọc cho hết còn k hiểu thì câm và cút.,1.0
"Nghiệp dư, con Trâu trắng chứ phù thuỷ trắng mịa gì!",1.0
Chúng mày đốt luôn đi cũng kệ con mẹ chúng mày,2.0
Cháu cũng làm con cặc j.,1.0
Con nhiều chuyện.mất la đúng rồi,0.0
"Một bọn súc vật ,bắt được chặt tay là o giám lần sau.",2.0
"Bị bắt đạp chế.t thì có đứa vào nói đạo lí, tao khinh",1.0
Mi bắt v r bh xl thì làm đk méo j nx,1.0
